#Column name	schema	Data type name	Length	Scale	Nulls
RECI	DSYSIBM	INTEGER	4	0	No
MSG_ID	SYSIBM	CHARACTER	8	0	Yes
CATEGORY	SYSIBM	CHARACTER	16	0	Yes
COMPONENT	SYSIBM	CHARACTER	16	0	Yes
SEVERITY	SYSIBM	CHARACTER	8	0	Yes
EVENT_TIME	SYSIBM	TIMESTAMP	10	6	No
JOBID	SYSIBM	BIGINT	8	0	Yes
BLOCK	SYSIBM	CHARACTER	32	0	Yes
LOCATION	SYSIBM	CHARACTER	64	0	Yes
SERIALNUMBER	SYSIBM	CHARACTER	19	0	Yes
CPU	SYSIBM	INTEGER	4	0	Yes
COUNT	SYSIBM	INTEGER	4	0	Yes
CTLACTION	SYSIBM	VARCHAR	256	0	Yes
MESSAGE	SYSIBM	VARCHAR	1024	0	Yes
DIAGS	SYSIBM	CHARACTER	1	0	No
QUALIFIER	SYSIBM	CHARACTER	32	0	Yes
